module_id,domain,kind,title,old_href,new_href,phase,search_index,notes
calculator.risk-cervical,gynecology,calculator-appointment,Риск рака шейки,/calculators/cervical-cancer-risk,/tools/calc/gyn/cervical-cancer-risk,P1,no,
calculator.risk-cin,gynecology,calculator-appointment,Наблюдение CIN,/calculators/cin-follow-up,/tools/calc/gyn/cin-follow-up,P1,no,
calculator.risk-ovarian,gynecology,calculator-appointment,Риск рака яичников,/calculators/ovarian-cancer-risk,/tools/calc/gyn/ovarian-cancer-risk,P1,no,
clinical.idea-endometriosis,gynecology,route,IDEA · эндометриоз,/idea-deep-endometriosis,/tools/mapping/endometriosis,P1,no,
mockup.hub,infra,hub,Макеты УЗИ,/mockups,/tools/mapping,P0.5,no,
mockup.uterus,gynecology,mockup,Макет матки,/uterus-3d,/tools/mapping/uterus,P1,no,uterus-clinic
mockup.ovary,rads,mockup,Макет яичника,/ovary-atlas,/tools/mapping/ovary,P1,no,ovary-atlas
mockup.breast,rads,mockup,Макет МЖ,/breast-3d,/tools/mapping/breast,P1,no,breast-3d
calculator.hub,infra,hub,Калькуляторы,/calculators,/tools/calc,P0.5,no,
education.library-hub,library,hub,Библиотека,/library,/tools/refs,P0.5,no,
reference.guidelines,library,reference,КР и приказы,/guidelines,/tools/refs/guidelines,P0.5,yes,guidelines
reference.clinical-norms,library,reference,Клин. нормы,/reference,/tools/refs/norms,P0.5,yes,clinical-ref
reference.evidence,library,reference,Доказательная база,/evidence,/tools/refs/evidence,P1,no,evidence-us-fmf
reference.nosologies,library,reference,Нозологии,/nosologies,/tools/refs/nosologies,P0.5,yes,nosology
reference.medvedev,library,reference,Консенсусы УЗИ,,/tools/refs/consensus,P0.5,yes,medvedev
education.isuog-basic,education,education,ISUOG базовый,/library/basic-course,/tools/refs/basic-course,P1,no,isuog-basic
education.orads-guide,education,education,O-RADS руководство,/library/orads-guide,/tools/refs/orads-guide,P0.5,yes,orads-guide
education.orads-echograms,education,education,O-RADS эхограммы,/library/orads-echograms,/tools/refs/orads-echograms,P1,no,orads-echograms
education.iota-terms-2026,education,education,IOTA 2026,/library/iota-terms-2026,/tools/refs/iota-terms-2026,P1,no,iota-terms-2026
education.cervix-pathology,education,education,Патология шейки,/library/cervix-pathology,/tools/refs/cervix-pathology,P1,no,cervix-pathology-quiz
education.fetal-anatomy-22,education,education,22 среза ВПР,/library/fetal-anatomy-22-views,/tools/refs/fetal-anatomy-22-views,P1,no,fetal-anatomy-22-views
education.fetal-doppler-1t,education,education,Допплер I трим.,/library/fetal-doppler-first-trimester,/tools/refs/fetal-doppler-first-trimester,P1,no,fetal-doppler-first-trimester
education.obstetric-atlas,education,education,Атлас I трим.,/library/obstetric-atlas,/tools/refs/obstetric-atlas,P1,no,obstetric-atlas
education.fetal-spine,education,education,Позвоночник плода,/library/fetal-spine,/tools/refs/fetal-spine,P1,no,fetal-spine-atlas
education.orads-flow,education,education,O-RADS Library,,/tools/calc/rads/o-rads,P0.5,yes,orads-flow
education.calculators-shelf,education,education,Калькуляторы RADS,/calculators,/tools/calc,P1,no,calculators
